0;7.64
1;7.64
2;7.58
2;7.64
3;7.64
4;7.58
5;7.64
5;7.64
6;7.64
8;7.58
16;7.58
25;7.64
34;7.64
44;7.64
53;7.58
62;7.58
72;7.64
81;7.64
91;7.51
100;7.64
110;7.64
120;7.58
131;7.64
142;7.51
152;7.64
162;7.58
173;7.64
183;7.64
193;7.58
204;7.58
215;7.64
225;7.58
235;7.58
245;7.58
256;7.58
266;7.58
277;7.64
287;7.64
297;7.51
308;7.58
318;7.64
328;7.58
339;7.64
350;7.58
360;7.64
370;7.64
380;7.58
391;7.64
402;7.58
412;7.58
422;7.64
433;7.58
443;7.64
453;7.58
463;7.64
475;7.64
485;7.58
495;7.64
505;7.58
516;7.70
526;7.64
537;7.58
547;7.64
558;7.58
568;7.64
578;7.64
588;7.58
599;7.58
610;7.58
620;7.64
630;7.64
641;7.58
651;7.64
661;7.51
672;7.64
683;7.64
693;7.64
703;7.64
713;7.58
723;7.64
735;7.64
745;7.64
755;7.70
765;7.58
776;7.64
786;7.64
796;7.64
807;7.64
818;7.58
828;7.58
838;7.64
848;7.64
859;7.64
870;7.58
880;7.64
890;7.64
901;7.64
911;7.64
921;7.58
931;7.64
943;7.64
953;7.64
963;7.64
973;7.58
984;7.64
994;7.64
1005;7.58
1016;7.64
1028;7.64
1039;7.64
1050;7.64
1061;7.64
1074;7.64
1085;7.58
1096;7.64
1107;7.58
1119;7.64
1130;7.58
1142;7.64
1154;7.64
1165;7.64
1176;7.64
1187;7.64
1200;7.64
1211;7.64
1222;7.64
1233;7.64
1245;7.64
1256;7.64
1268;7.58
1280;7.64
1291;7.58
1302;7.64
1313;7.64
1325;7.58
1337;7.64
1348;7.58
1359;7.64
1371;7.70
1382;7.64
1393;7.64
1405;7.70
1417;7.58
1428;7.64
1439;7.64
1451;7.64
1462;7.64
1474;7.58
1485;7.64
1497;7.70
1508;7.64
1519;7.58
1530;7.64
1543;7.64
1554;7.70
1565;7.58
1576;7.64
1588;7.64
1600;7.64
1611;7.64
1623;7.58
1634;7.64
1645;7.64
1656;7.64
1669;7.64
1680;7.76
1691;7.64
1702;7.58
1714;7.64
1725;7.64
1737;7.64
1748;7.64
1760;7.64
1771;7.64
1782;7.70
1794;7.64
1806;7.58
1817;7.64
1828;7.64
1840;7.64
1851;7.64
1862;7.58
1874;7.64
1886;7.58
1897;7.64
1908;7.64
1920;7.64
1932;7.64
1943;7.64
1954;7.64
1966;7.70
1977;7.64
1988;7.51
2000;7.64
2012;7.64
2023;7.64
2034;7.64
2045;7.64
2057;7.64
2069;7.58
2080;7.64
2092;7.58
2103;7.64
2114;7.64
2125;7.64
2138;7.64
2149;7.58
2160;7.64
2171;7.64
2183;7.64
2194;7.64
2206;7.64
2217;7.64
2229;7.58
2240;7.58
2251;7.58
2263;7.58
2275;7.58
2286;7.58
2297;7.64
2309;7.51
2320;7.64
2332;7.51
2343;7.64
2355;7.58
2366;7.64
2377;7.51
2388;7.51
2401;7.64
2412;7.64
2423;7.64
2435;7.51
2446;7.64
2457;7.51
2469;7.58
2481;7.64
2492;7.70
2503;7.64
2514;7.64
2526;7.64
2538;7.64
2549;7.58
2561;7.51
2572;7.64
2583;7.64
2594;7.58
2607;7.64
2618;7.64
2629;7.64
2640;7.58
2652;7.64
2664;7.51
2675;7.64
2686;7.58
2698;7.64
2709;7.64
2720;7.51
2733;7.64
2744;7.51
2755;7.64
2766;7.64
2778;7.64
2789;7.64
2801;7.58
2812;7.64
2824;7.64
2835;7.58
2846;7.51
2857;7.64
2870;7.58
2881;7.64
2892;7.58
2904;7.58
2915;7.64
2926;7.58
2938;7.64
2950;7.51
2961;7.64
2972;7.58
2983;7.58
2995;7.58
3007;7.58
3018;7.58
3030;7.58
3041;7.58
3052;7.58
3064;7.58
3076;7.58
3087;7.58
3098;7.58
3109;7.64
3121;7.58
3133;7.51
3144;7.64
3155;7.58
3167;7.58
3178;7.58
3189;7.64
3202;7.58
3213;7.64
3224;7.58
3235;7.58
3247;7.58
3258;7.58
3270;7.64
3281;7.58
3293;7.58
3304;7.58
3315;7.58
3326;7.58
3339;7.58
3350;7.58
3361;7.58
3373;7.58
3384;7.58
3396;7.58
3407;7.58
3419;7.51
3430;7.64
3441;7.58
3452;7.58
3465;7.58
3476;7.58
3487;7.58
3499;7.58
3510;7.58
3521;7.51
3533;7.64
3545;7.58
3556;7.58
3567;7.58
3578;7.58
3590;7.64
3602;7.58
3613;7.64
3624;7.58
3636;7.58
3647;7.58
3658;7.58
3671;7.58
3682;7.64
3693;7.58
3704;7.58
3716;7.58
3727;7.58
3739;7.58
3750;7.64
3762;7.58
3773;7.64
3784;7.58
3796;7.58
3808;7.51
3819;7.51
3830;7.58
3842;7.64
3853;7.58
3865;7.51
3876;7.64
3888;7.51
3899;7.51
3910;7.58
3921;7.51
3934;7.58
3945;7.64
3956;7.58
3968;7.51
3979;7.58
3990;7.58
4002;7.58
4014;7.58
4025;7.58
4036;7.58
4047;7.58
4059;7.51
4071;7.58
4082;7.58
4093;7.51
4105;7.51
4116;7.58
4128;7.58
4140;7.64
